x	y	z
1.931980591687442	0.7414709916743498	-1.4149271408279502
1.8380449350400805	1.7130039292956303	-1.1974418688503006
1.5403644716678457	0.7692191225418845	-1.0537178963638532
2.479087451569421	1.0962291017427992	-0.9447975561710072
1.5427678326980596	1.3708830435904198	-1.1635914855752578
2.5150269593822845	1.4468147979002124	-1.3848301785443358
1.6654819878298515	1.485107811923954	-1.9109546755856281
1.7855676052670155	1.2829937338153778	-0.938982791262289
2.0017137725090013	1.1663998551591477	-1.9083571780945916
2.3835984046586973	1.5664858185174872	-1.075233327966941
